name,page,category,tags,url,pageStatus
Macaroni,63,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n68,verified
"Steak, Swiss",199,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n204,verified
"Stew, Irish",156,Soups & Stews,,https://archive.org/details/calendarofdinner00neiluoft/page/n161,verified
Sweet Breads,183,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n188,verified
"Sweet Breads, Fried",62,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n67,verified
Mushroom Puree,173,Soups & Stews,,https://archive.org/details/calendarofdinner00neiluoft/page/n178,verified
"Tripe, Baked",229,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n234,verified
"Tripe, Fricasseed",197,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n202,verified
"Veal, Blanquette",197,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n202,verified
"Veal, Braised Fillet",169,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n174,verified
Veal Chops,196,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n201,verified
"Veal Cutlets, Breaded",193,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n198,verified
Veal Goulash,159,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n164,verified
Veal Haricot,216,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n221,verified
Veal and Ham Pie,165,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n170,verified
Veal Loaf,180,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n185,verified
Veal Pot Pie,172,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n177,verified
"Venison, Cutlets",220,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n225,verified
"Venison, Spiced",224,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n229,verified
"Fricassee, Brown",153,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n158,verified
Roast Stuffed,150,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n155,verified
