name,page,guessed_category,confidence
Champagne,44,Uncategorized,0.00
Club,44,Uncategorized,0.00
German,441,Uncategorized,0.00
Ginger,44,Uncategorized,0.00
HoUandaise,441,Uncategorized,0.00
Lenox,441,Uncategorized,0.00
Roman,442,Uncategorized,0.00
Victoria,441,Uncategorized,0.00
QUAHATJGS,156,Uncategorized,0.00
"Breast of, Lucullus",376,Uncategorized,0.00
Broiled,258,Mains,0.40
Pies,381,Desserts,0.40
Roast,258,Mains,0.40
Quenelles,150,Uncategorized,0.00
Radishes,299,Uncategorized,0.00
"Range, Care of, after Frying",598,Uncategorized,0.00
Set and Portable,17,Uncategorized,0.00
"Welsh, I",562,Uncategorized,0.00
"Welsh, II",562,Uncategorized,0.00
Puffs,477,Uncategorized,0.00
Dust from,601,Uncategorized,0.00
Ravioli,92,Uncategorized,0.00
Reptiles,159,Uncategorized,0.00
Boiled,88,Uncategorized,0.00
Steamed,88,Uncategorized,0.00
FiUing for,379,Uncategorized,0.00
Rissoto Creole,90,Uncategorized,0.00
Roasting,20,Uncategorized,0.00
Luncheon,61,Uncategorized,0.00
Parker House,58,Uncategorized,0.00
Swedish,60,Uncategorized,0.00
Sweet French,60,Uncategorized,0.00
Rules for Testing Fat for Frying,21,Uncategorized,0.00
Flakes,86,Uncategorized,0.00
Sago,6,Uncategorized,0.00
"Berkshire, in Boxes",346,Uncategorized,0.00
Bolivia,330,Uncategorized,0.00
Brazilian,340,Uncategorized,0.00
Chiffonade,333,Uncategorized,0.00
De Johns,340,Uncategorized,0.00
East India,337,Uncategorized,0.00
Harvard,347,Uncategorized,0.00
Hindoo,333,Uncategorized,0.00
Hungarian,339,Uncategorized,0.00
Lenten,336,Uncategorized,0.00
Mac^doine,331,Uncategorized,0.00
Malaga,339,Uncategorized,0.00
Monte Carlo,341,Uncategorized,0.00
"Neufchatel, I",337,Uncategorized,0.00
"Neufch^el, II",337,Uncategorized,0.00
Nile,345,Uncategorized,0.00
Russian,331,Uncategorized,0.00
"Russian, Moulded",335,Uncategorized,0.00
