name,page,guessed_category,confidence
Baked,236,Uncategorized,0.00
Herb,236,Uncategorized,0.00
Fondu,249,Uncategorized,0.00
Creamed,250,Desserts,0.40
Cottage,251,Uncategorized,0.00
Liptauer,252,Uncategorized,0.00
Dreams,253,Uncategorized,0.00
Roquefort Gourmet,253,Uncategorized,0.00
Grated,253,Uncategorized,0.00
Bachelor's,251,Uncategorized,0.00
Delmonico,252,Uncategorized,0.00
Pink,252,Uncategorized,0.00
Cherry,260,Desserts,0.45
Country,261,Uncategorized,0.00
Dent de Lion,261,Uncategorized,0.00
Endive,262,Uncategorized,0.00
Fetticus,262,Uncategorized,0.00
Garden,262,Uncategorized,0.00
Italian,263,Uncategorized,0.00
Macedoine,263,Uncategorized,0.00
Mixed,263,Uncategorized,0.00
Narragansett,264,Uncategorized,0.00
Philadelphia,264,Uncategorized,0.00
Pimento,264,Uncategorized,0.00
Polish,265,Uncategorized,0.00
Romaine,266,Uncategorized,0.00
Southern,266,Uncategorized,0.00
Sorrel,266,Uncategorized,0.00
Spanish,267,Uncategorized,0.00
Sunday night,267,Uncategorized,0.00
Waldorf,268,Uncategorized,0.00
Yokohama,268,Uncategorized,0.00
Tarragon Vinegar,258,Uncategorized,0.00
Creole,275,Uncategorized,0.00
Horse-Radish,275,Uncategorized,0.00
"Savoury, Neufchatel",276,Uncategorized,0.00
Stufted Olive,276,Uncategorized,0.00
Caper,277,Uncategorized,0.00
Liptauer,277,Uncategorized,0.00
Pimento,277,Uncategorized,0.00
Bombay,282,Uncategorized,0.00
Creole,282,Uncategorized,0.00
German,284,Uncategorized,0.00
Honolulu,284,Uncategorized,0.00
Pimola,283,Uncategorized,0.00
Providence House,281,Uncategorized,0.00
Pie-Crust,287,Uncategorized,0.00
Pastry for Patty Cases,288,Uncategorized,0.00
Essex Pastry,289,Uncategorized,0.00
Dumplings,289,Sides,0.50
Pop Overs,293,Uncategorized,0.00
Thanksgiving Dinner,303,Uncategorized,0.00
Christmas Dmner,304,Uncategorized,0.00
Easter Dinner,304,Uncategorized,0.00
