name,page,category,tags,url,pageStatus
German coffee cake,15,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n20,verified
Green corn pudding,93,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n98,verified
Gold loaf cake,14,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n19,verified
Graham bread,3,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n8,verified
"Graham gems, No. 2",3,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n8,verified
Gingerbread,3,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n8,verified
Horehound candy,26,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n31,verified
Hollandaise sauce for fish,41,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n46,verified
Hermits,16,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n21,verified
Hot water sponge cake,16,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n21,verified
Icing for cakes,17,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n22,verified
Indian pudding,93,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n98,verified
Ice cream,30,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n35,verified
Ice cream candy,26,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n31,verified
"Ice cream, how to make",26,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n31,verified
Indian steam loaf,4,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n9,verified
Icing for cake,16,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n21,verified
Ice cream cake,16,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n21,verified
Jumbles,17,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n22,verified
Jelly cake,17,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n22,verified
Lemon jelly,31,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n36,verified
Lemon taffy,26,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n31,verified
Lemon milk sherbet,31,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n36,verified
Lemon ice,30,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n35,verified
